Trace,EAF-LRU,Self-adaptive FIFO,LRU,SHiP,SRRP,DRRIP
bwaves,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
bzip2,67.81%,67.45%,68.23%,68.27%,67.94%,67.48%
cactusADM,24.60%,18.25%,22.86%,16.82%,22.71%,22.71%
calculix,43.52%,43.52%,43.52%,43.19%,43.52%,43.46%
gamess,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
gcc,29.00%,25.56%,37.67%,12.93%,31.24%,36.90%
gobmk,15.73%,15.73%,15.73%,16.47%,15.73%,15.91%
gromacs,0.05%,0.05%,0.05%,0.11%,0.05%,0.37%
h264ref,17.95%,17.95%,17.95%,17.88%,17.95%,18.14%
leslie3d,33.45%,24.99%,26.64%,34.37%,33.19%,29.46%
libquantum,3.94%,3.91%,5.86%,0.00%,5.21%,5.76%
namd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
omnetpp,82.54%,89.34%,75.32%,80.97%,75.15%,77.24%
perlbench,62.87%,63.02%,62.73%,62.64%,62.78%,62.61%
povray,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sjeng,2.05%,2.05%,2.05%,1.66%,2.05%,1.88%
tonto,75.05%,75.05%,75.05%,77.29%,75.05%,75.76%
wrf,9.80%,9.80%,9.80%,9.48%,9.80%,9.49%
zeusmp,20.89%,20.07%,20.89%,17.00%,20.89%,20.50%
Average,25.75%,25.75%,25.49%,24.16%,25.43%,25.67%
